sort20220911	CollectionCode2018	CollectionCode2019	VeryOldCC	CollectionCodeOld	CollectionCode	etOHstorageLoc	TransferNotes	BiogeographicRegion	Country	Adm1	Adm2	Region	Locale	LocalityCode	LocalityCode2	LocalityNotes	DateCollectedStart	DateCollectedEnd	Time	Method	Lat	Lon	LatLonMaxError	Datum	Elevation	ElevationMaxError	Habitat	Microhabitat	Medium	CollectedBy	CollectionNotes	LocatedAt	OwnedBy	TaxonNotes
1	RPO#0001	RPO#0001	#N/A	RO-05-HYM	RPO#0001			North America	USA	AZ	Maricopa	Tempe	East Dunbar Dr				2/20/2005			hand	33.3803	-111.9034	10 m	WGS 84	363	Acquired through GBIF in 2015 from lat/lon	urban		75% EtOH	RP Overson				
2	2005-10070	RPO#0002	#N/A	2005-10070	RPO#0002	U2020-I		North America	USA	AR	Montgomery	Ouachita National Forest	Lake Ouchita				6/7/2005			hand	34.5852	-93.4099	20	WGS 84	204				100% EtOH	RP Overson	Collected near shoreline of lake			
3	RPO#0002	RPO#0004	2	RO-05-14	RPO#0003	U2020-I		North America	USA	AR	Montgomery	Ouachita National Forest	Lake Ouachita				6/7/2005			hand	34.5852	-93.4099	10 m	WGS 84	199	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
4	RPO#0003	RPO#0005	3	RO-05-19	RPO#0004			North America	USA	AR	Montgomery	Ouachita National Forest	Lake Ouachita				6/7/2005			hand	34.5852	-93.4099	10 m	WGS 84	199	Acquired through GBIF in 2015 from lat/lon			75% EtOH	RP Overson				
5	RPO#0004	RPO#0006	4	RO-05-22	RPO#0005	U2020-I		North America	USA	AR	Montgomery	Ouachita National Forest	Lake Ouachita				6/7/2005			hand	34.5852	-93.4099	10 m	WGS 84	199	Acquired through GBIF in 2015 from lat/lon		under rock	75% EtOH	RP Overson				
6	2005-10069	RPO#0003	#N/A	2005-10069	RPO#0006	U2020-I		North America	USA	NM	Deaf Smith		Glenrio				5/11/2005			hand	35.1819	-103.0354	30	WGS 84	1170			nest on ground	100% EtOH	RP Overson	Collected at TX/NM border			
7	RPO#0005	RPO#0007	5	RO-05-27	RPO#0007	U2020-I		North America	USA	AZ	Pinal	Superior	Silver King Mine Road				6/23/2005			hand	33.3193	-111.1137	30 m	WGS 84	953	Acquired through GBIF in 2015 from lat/lon		ex nest	75% EtOH	RP Overson				
8	RPO#0006	RPO#0008	6	RO-05-100	RPO#0008	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	Southwestern Research Station		original GPS waypoint: 75		8/4/2005			hand	31.883	-109.2	800 m	WGS 84	1635	Acquired through GBIF in 2015 from lat/lon	madrean evergreen woodland	nest under rock	pinned	RP Overson	collected within 800 m of the Southwestern Research Station			
9	RPO#0007	RPO#0009	7	RO-05-101	RPO#0009	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	Southwestern Research Station		original GPS waypoint: 75		8/4/2005			hand	31.883	-109.2	800 m	WGS 84	1635	Acquired through GBIF in 2015 from lat/lon	madrean evergreen woodland	nest under rock	pinned	RP Overson	collected within 800 m of the Southwestern Research Station			
10	RPO#0008	RPO#0010	8	RO-05-102	RPO#0010	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	Southwestern Research Station		original GPS waypoint: 75		8/4/2005			hand	31.883	-109.2	800 m	WGS 84	1635	Acquired through GBIF in 2015 from lat/lon	madrean evergreen woodland	nest under rock	pinned	RP Overson	collected within 800 m of the Southwestern Research Station			
11	RPO#0009	RPO#0011	9	RO-05-Pomp	RPO#0011			North America	USA	AZ	Cochise	Chiricahua Mountains	Southwestern Research Station				8/4/2005			hand	31.883	-109.2	800 m	WGS 84	1635	Acquired through GBIF in 2015 from lat/lon	madrean evergreen woodland		pinned	RP Overson	collected within 800 m of the Southwestern Research Station			
12	RPO#0010	RPO#0012	10	RO-05-103	RPO#0012	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	Southwestern Research Station				8/5/2005			hand	31.883	-109.2	800 m	WGS 84	1635	Acquired through GBIF in 2015 from lat/lon	madrean evergreen woodland		75% EtOH	RP Overson				
13	RPO#0011	RPO#0013	11	RO-05-104	RPO#0013	U2020-I		North America	USA	AZ	Cochise	Chiricahua Mountains	Southwestern Research Station		original GPS waypoint: 75		8/5/2005			hand	31.883	-109.2	800 m	WGS 84	1635	Acquired through GBIF in 2015 from lat/lon	madrean evergreen woodland	nest under rock	pinned	RP Overson	collected within 800 m of the Southwestern Research Station			
